RS,LR_Tr_Acc,LR_Te_Acc,LR_TN,LR_FN,LR_FP,LR_TP,LR_corr,SV_Tr_Acc,SV_Te_Acc,SV_TN,SV_FN,SV_FP,SV_TP,SV_corr,TR_Tr_Acc,TR_Te_Acc,TR_TN,TR_FN,TR_FP,TR_TP,TR_corr,KNN_Tr_Acc,KNN_Te_Acc,KNN_TN,KNN_FN,KNN_FP,KNN_TP,KNN_corr
10,0.861111111111111,0.777777777777777,3,1,3,11,0.777777777777778,0.861111111111111,0.833333333333333,3,0,3,12,0.833333333333333,0.916666666666666,0.722222222222222,3,0,3,12,0.833333333333333,0.861111111111111,0.833333333333333,3,0,3,12,0.833333333333333
11,0.847222222222222,0.888888888888888,4,1,1,12,0.888888888888889,0.847222222222222,0.888888888888888,4,1,1,12,0.888888888888889,0.930555555555555,0.777777777777777,4,1,1,12,0.888888888888889,0.861111111111111,0.888888888888888,4,1,1,12,0.888888888888889
12,0.847222222222222,0.833333333333333,2,1,2,13,0.833333333333333,0.861111111111111,0.833333333333333,2,1,2,13,0.833333333333333,0.902777777777777,0.888888888888888,2,1,2,13,0.833333333333333,0.847222222222222,0.777777777777777,2,2,2,12,0.777777777777778
13,0.805555555555555,1.000000000000000,4,0,0,14,1.000000000000000,0.819444444444444,1.000000000000000,4,0,0,14,1.000000000000000,0.875000000000000,0.888888888888888,4,0,0,14,1.000000000000000,0.819444444444444,0.888888888888888,3,1,1,13,0.888888888888889
14,0.805555555555555,0.944444444444444,3,1,0,14,0.944444444444444,0.819444444444444,0.888888888888888,3,2,0,13,0.888888888888889,0.875000000000000,0.833333333333333,3,2,0,13,0.888888888888889,0.819444444444444,1.000000000000000,3,0,0,15,1.000000000000000
15,0.847222222222222,0.777777777777777,4,0,4,10,0.777777777777778,0.875000000000000,0.777777777777777,4,0,4,10,0.777777777777778,0.930555555555555,0.833333333333333,4,0,4,10,0.777777777777778,0.861111111111111,0.555555555555555,3,3,5,7,0.555555555555556
16,0.833333333333333,0.777777777777777,3,1,3,11,0.777777777777778,0.847222222222222,0.722222222222222,3,2,3,10,0.722222222222222,0.875000000000000,0.777777777777777,3,2,3,10,0.722222222222222,0.861111111111111,0.777777777777777,3,1,3,11,0.777777777777778
17,0.805555555555555,0.944444444444444,5,0,1,12,0.944444444444444,0.833333333333333,0.944444444444444,5,0,1,12,0.944444444444444,0.888888888888888,0.944444444444444,5,0,1,12,0.944444444444444,0.833333333333333,0.944444444444444,5,0,1,12,0.944444444444444
18,0.833333333333333,0.833333333333333,5,1,2,10,0.833333333333333,0.847222222222222,0.833333333333333,5,1,2,10,0.833333333333333,0.916666666666666,0.888888888888888,5,1,2,10,0.833333333333333,0.875000000000000,0.666666666666666,5,4,2,7,0.666666666666667
19,0.861111111111111,0.777777777777777,2,0,4,12,0.777777777777778,0.875000000000000,0.666666666666666,2,2,4,10,0.666666666666667,0.916666666666666,0.666666666666666,2,2,4,10,0.666666666666667,0.875000000000000,0.777777777777777,2,0,4,12,0.777777777777778
20,0.833333333333333,0.888888888888888,4,1,1,12,0.888888888888889,0.833333333333333,0.944444444444444,4,0,1,13,0.944444444444444,0.902777777777777,0.888888888888888,4,0,1,13,0.944444444444444,0.833333333333333,0.833333333333333,4,2,1,11,0.833333333333333
21,0.847222222222222,0.777777777777777,3,0,4,11,0.777777777777778,0.847222222222222,0.833333333333333,4,0,3,11,0.833333333333333,0.902777777777777,0.500000000000000,4,0,3,11,0.833333333333333,0.875000000000000,0.833333333333333,4,0,3,11,0.833333333333333
22,0.833333333333333,0.777777777777777,2,1,3,12,0.777777777777778,0.847222222222222,0.888888888888888,3,0,2,13,0.888888888888889,0.916666666666666,0.833333333333333,3,0,2,13,0.888888888888889,0.875000000000000,0.722222222222222,1,1,4,12,0.722222222222222
23,0.861111111111111,0.833333333333333,6,0,3,9,0.833333333333333,0.875000000000000,0.777777777777777,6,1,3,8,0.777777777777778,0.902777777777777,0.500000000000000,6,1,3,8,0.777777777777778,0.861111111111111,0.833333333333333,6,0,3,9,0.833333333333333
24,0.833333333333333,0.833333333333333,2,0,3,13,0.833333333333333,0.805555555555555,0.944444444444444,4,0,1,13,0.944444444444444,0.888888888888888,0.888888888888888,4,0,1,13,0.944444444444444,0.847222222222222,0.833333333333333,2,3,0,13,0.833333333333333
25,0.819444444444444,0.833333333333333,2,1,2,13,0.833333333333333,0.833333333333333,0.888888888888888,3,1,1,13,0.888888888888889,0.902777777777777,0.833333333333333,3,1,1,13,0.888888888888889,0.847222222222222,0.833333333333333,2,1,2,13,0.833333333333333
26,0.833333333333333,0.888888888888888,5,0,2,11,0.888888888888889,0.847222222222222,0.888888888888888,5,0,2,11,0.888888888888889,0.888888888888888,0.944444444444444,5,0,2,11,0.888888888888889,0.875000000000000,0.888888888888888,5,0,2,11,0.888888888888889
27,0.861111111111111,0.777777777777777,2,0,4,12,0.777777777777778,0.875000000000000,0.777777777777777,2,0,4,12,0.777777777777778,0.902777777777777,0.833333333333333,2,0,4,12,0.777777777777778,0.888888888888888,0.777777777777777,2,0,4,12,0.777777777777778
28,0.875000000000000,0.777777777777777,4,1,3,10,0.777777777777778,0.861111111111111,0.777777777777777,4,1,3,10,0.777777777777778,0.902777777777777,0.833333333333333,4,1,3,10,0.777777777777778,0.875000000000000,0.777777777777777,3,0,4,11,0.777777777777778
29,0.819444444444444,0.888888888888888,5,2,0,11,0.888888888888889,0.833333333333333,0.888888888888888,5,2,0,11,0.888888888888889,0.888888888888888,0.944444444444444,5,2,0,11,0.888888888888889,0.861111111111111,0.888888888888888,5,2,0,11,0.888888888888889
30,0.833333333333333,0.722222222222222,5,3,2,8,0.722222222222222,0.833333333333333,0.888888888888888,5,0,2,11,0.888888888888889,0.875000000000000,0.888888888888888,5,0,2,11,0.888888888888889,0.847222222222222,0.833333333333333,5,1,2,10,0.833333333333333
31,0.833333333333333,0.777777777777777,7,3,1,7,0.777777777777778,0.847222222222222,0.777777777777777,7,1,3,7,0.777777777777778,0.902777777777777,0.777777777777777,7,1,3,7,0.777777777777778,0.847222222222222,0.777777777777777,7,1,3,7,0.777777777777778
32,0.805555555555555,0.944444444444444,4,0,1,13,0.944444444444444,0.819444444444444,0.944444444444444,5,1,0,12,0.944444444444444,0.875000000000000,0.666666666666666,5,1,0,12,0.944444444444444,0.833333333333333,0.888888888888888,4,1,1,12,0.888888888888889
33,0.875000000000000,0.722222222222222,3,2,3,10,0.722222222222222,0.875000000000000,0.722222222222222,3,2,3,10,0.722222222222222,0.916666666666666,0.777777777777777,3,3,2,10,0.722222222222222,0.875000000000000,0.722222222222222,3,2,3,10,0.722222222222222
